№ проекта|№ в ERP:|Отдел|Статус|Дата(КД)|Лазер|Н/час сб.|Этап|кол-во|Отгр.|Вес|Сост.|
1804045||КТ|отгружено|09.10.2018|||||10.11.2018|387||
1806104||КТ|отгружено|25.09.2018|||||12.11.2018|1895||
1809112||АО|отгружено|21.09.2018|||||12.11.2018|2580||
1809008||КЛ|отгружено|28.09.2018|||||14.11.2018|824||
1808035||КТ|отгружено|19.10.2018|||||14.11.2018|20||
1608141||КТ|отгружено|12.11.2018|||||15.11.2018|69||
1507046||КТ|отгружено|18.10.2018|||||16.11.2018|7437||
1807107||ШГ|отгружено|21.08.2018|||||19.11.2018|22576||
1802014||КТ|отгружено|22.10.2018|||||20.11.2018|29000||
1808028||КТ|отгружено|06.11.2018|||||20.11.2018|7,4||
1811020||РТ|отгружено|08.11.2018|||||22.11.2018|5||
1811017||РТ|отгружено|08.11.2018|||||22.11.2018|5||
1802075|ПУ00-000640|ЛК|отгружено|25.10.2018||||3|26.11.2018|500||
1808014|ПУ00-000615|ШГ|отгружено|11.10.2018|||-|1|30.11.2018|102|90|
1204118.133|ПУ00-000613|КТ|отгружено|20.09.2018|||||04.12.2018|13158|15|
1402109||КТ|отгружено|29.10.2018|||||04.12.2018|0||
1809333||БСИ|отгружено|06.11.2018|||||04.12.2018|0||
1807038||ШГ|отгружено|05.09.2018|||||06.12.2018|340||
1807050|ПУ00-000684|КТ|отгружено|29.11.2018|||||06.12.2018|284||
1607069||КТ|отгружено|25.10.2018|||||07.12.2018|262||
1809072|ПУ00-000681|КТ|отгружено|29.11.2018|||||07.12.2018|376||
1406040||КТ|отгружено|26.10.2018|||||07.12.2018|30||
1810172||КТ|отгружено|20.11.2018|||||07.12.2018|3||
1605092|ПУ00-000660|КТ|отгружено|23.10.2018|||||07.12.2018|48||
1608041|ПУ00-000665|КТ|отгружено|12.11.2018|||||07.12.2018|120||
1507046|||отгружено|08.12.2018|||||08.12.2018|0||
1807036|ПУ00-000632|ШГ|отгружено|10.12.2018||||1|10.12.2018|301||
1808106|ПУ00-000626|КТ|отгружено|10.12.2018||8|-|4|10.12.2018|11|90|
1811033|ПУ00-000668|КЛ|отгружено|10.12.2018||2|||10.12.2018|28||
1812011|ПУ00-000674|РТ|отгружено|10.12.2018||0||60|10.12.2018|20,4||
1606180|ПУ00-000561|ССЗУ|отгружено|14.12.2018||40|?|3|14.12.2018|914||
1810022|ПУ00-000631|МК|отгружено|14.12.2018||22||5|14.12.2018|1896||
1604103|ПУ00-000674|КТ|отгружено|14.12.2018||32||11|14.12.2018|954||
1802118|ПУ00-000689|КТ|отгружено|14.12.2018||3||2|14.12.2018|270||
1809006|ПУ00-000667|КЛ|отгружено|14.12.2018||159||2|14.12.2018|2409||
1808008|ПУ00-000610|КЛ|отгружено|14.12.2018||80|||14.12.2018|1779||
1806104|ПУ00-000648|КТ|отгружено|14.12.2018||17||6|14.12.2018|1560||
1806104-1|ПУ00-000659|ЛК|отгружено|14.12.2018||133||6|14.12.2018|750||
1803018|ПУ00-000559|КЛ|отгружено|14.12.2018||40||8|14.12.2018|150||
1809036|ПУ00-000683|КТ|отгружено|14.12.2018||48||2|14.12.2018|1410||
1604012|ПУ00-000661|КТ|отгружено|17.12.2018||13||1|17.12.2018|293||
1809108|ПУ00-000685|КТ|отгружено|17.12.2018||34||3|17.12.2018|4476||
1812058|ПУ00-000703|Тр|отгружено|17.12.2018||3||2|17.12.2018|4,6||
1611090|ПУ00-000692|КТ|отгружено|18.12.2018||3|||18.12.2018|144||
1806039|ПУ00-000682|КТ|отгружено|20.12.2018|||||20.12.2018|786|ПКК сообщить когда этот проект на сборку возьмем в работу.|
1809014|ПУ00-000637|КЛ|отгружено|21.12.2018||47||1|21.12.2018|682|99|
1810093|ПУ00-000672|КЛ|отгружено|21.12.2018||14||2|21.12.2018|300||
1808019|ПУ00-000658|КТ|отгружено|21.12.2018||54||17|21.12.2018|1066||
1802116|ПУ00-000649|ШГ|отгружено|21.12.2018||47||4|21.12.2018|723||
1602165|ПУ00-000702|КТ|отгружено|21.12.2018||86||4|21.12.2018|1670|0,8|
1807074|ПУ00-000663|КТ|отгружено|24.12.2018||28||1|24.12.2018|443||
1704017|ПУ00-000690|КТ|отгружено|24.12.2018||2||1|24.12.2018|10||
1205076|ПУ00-000691|КТ|отгружено|24.12.2018||3|-|2|24.12.2018|23||
1402113|ПУ00-000700|КТ|отгружено|24.12.2018||1||1|24.12.2018|10||
1809006-1|ПУ00-000667|КЛ|отгружено|24.12.2018||317||4|24.12.2018|4819||
1405155|ПУ00-000712|КТ|отгружено|26.12.2018|20.12.18(не будет)|1||1|26.12.2018|87|П|
1812007|ПУ00-000695|КЛ|отгружено|27.12.2018|20.12.2018|98||7|27.12.2018|689|99|
1812085|ПУ00-000708|КС|отгружено|28.12.2018||9||1|28.12.2018|131|готов|
1808130|ПУ00-000641|ШГ|отгружено|29.12.2018||40||4|29.12.2018|445||
1204118|ПУ00-000698|КТ|отгружено|31.12.2018||155||22|31.12.2018|4296|0,7|
1811106|ПУ00-000714|КТ|отгружено|08.01.2019||20|-|9|08.01.2019|235||
1707065|ПУ00-000709|КТМ|отгружено|09.01.2019|18.12.2018|27||2|09.01.2019|467|по плану|
1509079|ПУ00-000713|КТ|отгружено|14.01.2019||1|-|1|14.01.2019|1||
1401065|ПУ00-000004|КТМ|отгружено|14.01.2019||0,5|-|1|14.01.2019|226||
1808128|ПУ00-000714|КТ|отгружено|15.01.2019||2|-|2|15.01.2019|58||
1810015|ПУ00-000670|ШГ|отгружено|16.01.2019||29|-|2|16.01.2019|2287|завтра|
1406163|ПУ00-000007|КТ|отгружено|16.01.2019||2|-|4|16.01.2019|15||
1807023|ПУ00-000001|КТМ|отгружено|18.01.2019||9|-|1|18.01.2019|210||
1211127|ПУ00-000010|КТ|отгружено|18.01.2019||1|-|1|18.01.2019|3,5||
1804148|ПУ00-000017|КТМ|отгружено|18.01.2019||8|-|2|18.01.2019|228||
1809070|ПУ00-000002|КТ|отгружено|18.01.2019||3|-|1|18.01.2019|226|0,8|
АСО-ПГ.000498|Отдел технолога\В работе\ЗАКАЗЫ без ERP\АСО-ПГ.000498|АО|отгружено|16.01.2020|н|60&||1|20.06.2019|941&||
ПН.19.034 Рама масляной станции|Оборудование Пауэрз\Линзовый станок\ПН.19.034 Рама масляной станции|ПР|отгружено|24.10.2019|н|2||2|1.11.2019|20||
1809070|ПУ00-000002|КТ|отгружено|20.01.2019||17|-|7|20.01.2019|1855|0,5|
1901063|ПУ00-000022|КТ|отгружено|21.01.2019||0|-|1|21.01.2019|0||
1808008-1|ПУ00-000611|КЛ|отгружено|21.01.2019||331||18|21.01.2019|5330|70%|
1211127|ПУ00-000019|КТ|отгружено|22.01.2019||11|-|8|22.01.2019|43||
1504065|ПУ00-000029|КТ|отгружено|24.01.2019||1|-|1|24.01.2019|13|П|
1810055|ПУ00-000677|ШГ|отгружено|25.01.2019||21||2|25.01.2019|260|0,5|
1401120|ПУ00-000006|КТ|отгружено|25.01.2019||3|-|3|25.01.2019|267|П|
1603099||КТ|отгружено|25.01.2019||3||1|25.01.2019|50||
1602165|ПУ00-000005|КТМ|отгружено|09.01.2019||18|-|1|26.01.2019|837|0,1|
1711101|ПУ00-000501|ШГ|отгружено|10.07.2018||104|-|6|28.01.2019|10829|П|
1603107|ПУ00-000710|КТ|отгружено|19.12.2018||14|-|4|29.01.2019|34|П|
1603107|ПУ00-000711|КТ|отгружено|19.12.2018||22|-|6|29.01.2019|51|П|
1507046|ПУ00-000009|КТМ|отгружено|11.01.2019||52|-|2|29.01.2019|1373|0,3|
1704063|ПУ00-000003|КТ|отгружено|10.01.2019||7|-|5|30.01.2019|114|П|
1812071|ПУ00-000720|КЛ|отгружено|11.01.2019||88|-|6|30.01.2019|517|2 клапана из нерж. жаропрочной отгружаем 08.02|
1811002|ПУ00-000026|КТМ|отгружено|23.01.2019||11|-|1|30.01.2019|580|срочное|
1807125|ПУ00-000018|КТМ|отгружено|14.01.2019||3|-|1|31.01.2019|136||
1812114|ПУ00-000023|ЛК|отгружено|23.01.2019||20|-|4|01.02.2019|171|[]|
допоставка|1611226|ДП|отгружено|23.01.2019||3|-|1|01.02.2019|9||
1901119|ПУ00-000036|РТ|отгружено|28.01.2019||4|-|5|01.02.2019|50||
1901116|ПУ00-000034|РТ|отгружено|28.01.2019||8|-|2|01.02.2019|255|отгружаем 16.02|
1810014|ПУ00-000696|КЛ|отгружено|28.12.2018||152|-|2|02.02.2019|2250|0,9|
1604103|ПУ00-000012|КТ|отгружено|11.01.2019||58|-|11|05.02.2019|898|0,9|
1602165|ПУ00-000032|КТ|отгружено|25.01.2019||4|-|1|06.02.2019|271||
1406163|ПУ00-000021|КТ|отгружено|17.01.2019||13|-|4|07.02.2019|14|гот?|
1809047|ПУ00-000045|КТМ|отгружено|01.01.2019||4||1|08.02.2019|801||
1803999|ПУ00-000650|П|отгружено|30.01.2019||4||2|10.02.2019|238||
1402143|ПУ00-000008|КТМ|отгружено|09.01.2019||83|-|3|11.02.2019|2852|до 11.02.2019 1 шт и до 15.02.2019 2 шт|
1901117|ПУ00-000035|РТ|отгружено|28.01.2019||80||300|11.02.2019|102|отгружаем 16.02|
1204113|ПУ00-000033|КТ|отгружено|25.01.2019||1|-|1|11.02.2019|59||
1509101|ПУ00-000042|КТ|отгружено|31.01.2019||1,5||2|11.02.2019|0,85||
1604103|ПУ00-000016|КТМ|отгружено|11.01.2019||9|-|2|12.02.2019|85||
1604103|ПУ00-000020|КТ|отгружено|16.01.2019||3|-|1|12.02.2019|125||
1812131|ПУ00-000046|КТ|отгружено|01.01.2019||20|?|4|13.02.2019|90||
1603129|ПУ00-000055|КТ|отгружено|11.02.2019||1|?|1|14.02.2019|1||
1801093|ПУ00-000024|КТ|отгружено|11.02.2019||1|?|1|14.02.2019|14|аккуратно|
1812118|ПУ00-000041|КТ|отгружено|31.01.2019||0||12|15.02.2019|100||
1611090|ПУ00-000039|КТ|отгружено|31.01.2019||0|?|2|15.02.2019|12||
1602056|ПУ00-000043|КТ|отгружено|31.01.2019||0||3|15.02.2019|122||
допоставка|1801103\1801103_Чертежи для расточки втулок каретки|ДП|отгружено|23.01.2019||0|-|1|15.02.2019|17||
1902075|ПУ00-000059|РТ|отгружено|12.02.2019|||?|6|15.02.2019|15|рамы отгружаем 16.02|
1902084|ПУ00-000062|РТ|отгружено|13.02.2019||0||6|15.02.2019|1|отгружаем 16.02|
допоставка|Для ШЕФ-Монтажников|ДП|отгружено|23.01.2019||0|-|1|18.02.2019|0,24||
1710010|ПУ00-000705|КЛ|отгружено|17.12.2018||65||3|18.02.2019|2647|0,5|
Лист||ПР|отгружено|18.02.2019||0,1||3|19.02.2019|0||
1812027|ПУ00-000011|КЛ|отгружено|25.01.2019||23|?|1|20.02.2019|679||
1902083|ПУ00-000061|РТ|отгружено|13.02.2019||0|?|2|20.02.2019|41|отгружаем 19.02|
1902065|ПУ00-000057|РТ|отгружено|11.02.2019||1|?|1|21.02.2019|87||
допоставка|Отдел технолога\ДОПОСТАВКИ\1802018|ДП|отгружено|19.02.2019||0|-|1|21.02.2019|1|[]|
1812051|ПУ00-000719|ШГ|отгружено|11.01.2019||13|-|1|22.02.2019|125||
1204113-704|ПУ00-000704|ЛК|отгружено|11.02.2019||64||4|22.02.2019|181||
1703026|ПУ00-000721|КЛ|отгружено|11.02.2019||17||6|22.02.2019|393|1811042|
Прижим|Отдел технолога\В работе\Прочее\Прижим|ПР|отгружено|19.02.2019||0,3|-|1|22.02.2019|0,42||
1902153|ПУ00-000079|ПР|отгружено|22.02.2019||0|?|5|22.02.2019|2||
1901099|ПУ00-000040|ЛК|отгружено|01.01.2019||16|-|1|23.02.2019|48|2мм|
1403088|ПУ00-000031|КТМ|отгружено|25.01.2019||221|-|3|25.02.2019|2238||
1204118|ПУ00-000044|КТМ|отгружено|01.01.2019||20||6|25.02.2019|1209||
1604103|ПУ00-000038|КТ|отгружено|29.01.2019||69||11|26.02.2019|847|Кольца до 11.02.2019|
1204118|ПУ00-000027|КТМ|отгружено|23.01.2019||98|?|3|27.02.2019|1197||
1204118|ПУ00-000037|КТМ|отгружено|28.01.2019||58|-|3|27.02.2019|787||
1802090|ПУ00-000384|ПР|отгружено|14.02.2019||2||5|27.02.2019|75|Трубы требуется отшлифовать до Rа 0,63 для шлифовки закуплены щётки с разным абразивом. Дата поступления щёток 20.02.2019 |
допоставка|Отдел технолога\ДОПОСТАВКИ\1801103\1801103_Замена подвода запирающего воздуха общая|ДП|отгружено|23.01.2019||0|-|1|28.02.2019|26|1 шт. экспериментальная|
1901084|ПУ00-000030|ЛК|отгружено|01.01.2019||4||1|28.02.2019|28|3мм диаметр 524|
1604103|ПУ00-000087|КТ|отгружено|26.02.2019||2||2|28.02.2019|72||
1204118|ПУ00-000086|КТ|отгружено|26.02.2019||16||2|06.03.2019|245||
1602056|ПУ00-000074|КТ|отгружено|19.02.2019||23|?|3|07.03.2019|1508||
1710087|ПУ00-000095|ПР|отгружено|05.03.2019||||1|08.03.2019|3||
1902000|Оборудование Пауэрз\Стеллаж для хранения листового металлопроката\Стеллаж на лазер под листы|ПР|отгружено|18.02.2019||41|-|3|08.03.2019|891|ПУ00-000069|
1409221|ПУ00-000072|КТ|отгружено|19.02.2019||0||1|10.03.2019|4|Согласована замена на AISI 304 в виду того, что круг 12Х1МФ очень дорогой!|
1711118|ПУ00-000090|КТ|отгружено|28.02.2019||10|?|3|11.03.2019|174||
1507046|ПУ00-000058|КТ|отгружено|12.02.2019||134|?|3|11.03.2019|1929|0,5|
1902087|ПУ00-000063|РТ|отгружено|13.02.2019||0||70|12.03.2019|20|Пружина РТ.3.01.05.003 привариваются  у Заказчика. Производству Пауэрз требуется выточить штоки. |
1902100|ПУ00-000066|РТ|отгружено|14.02.2019||24||1|12.03.2019|12|часть2|
1902147|ПУ00-000080|РТ|отгружено|22.02.2019||32|?|3|15.03.2019|351||
Опытный образец АО|Отдел технолога\В работе\Опытный образец АО\Опытный образец АО|АО|отгружено|12.02.2019||40|-|1|15.03.2019|414|все детали окрашиваются строго после контрольной сборки!!!!|
1811038|ПУ00-000093|КТ|отгружено|04.03.2019||92||15|15.03.2019|656|важно|
1811033|ПУ00-000117|РТ|отгружено|18.03.2019||3||2|18.03.2019|14||
1902124|ПУ00-000070|РТ|отгружено|19.02.2019||128||33|18.03.2019|6313||
1410129|ПУ00-000106|КТ|отгружено|12.03.2019|л|21|?|2|19.03.2019|213||
1410129|ПУ00-000109|КТ|отгружено|14.03.2019||19||3|19.03.2019|326||
1807074|ПУ00-000075|КТ|отгружено|19.02.2019||33|?|3|19.03.2019|435||
1602113|ПУ00-000103|КТМ|отгружено|12.03.2019|у|106|?|5|20.03.2019|1488||
1602113|ПУ00-000115|КТМ|отгружено|15.03.2019|у|97||4|20.03.2019|895||
1603019|ПУ00-000082|КТМ|отгружено|25.02.2019|л|32||1|20.03.2019|3932||
1510092|ПУ00-000085|КТ|отгружено|25.02.2019|л|35||4|20.03.2019|686||
1901056|ПУ00-000051|КЛ|отгружено|25.02.2019|у|35||1|22.03.2019|701||
1806048|ПУ00-000078|КТ|отгружено|20.02.2019||8||2|22.03.2019|100||
1902185|ПУ00-000108|ПР|отгружено|13.03.2019||0||100|22.03.2019|86||
1903071|ПУ00-000118|РТ|отгружено|19.03.2019|л|4|?|2|22.03.2019|49||
1810011|ПУ00-000131|КТ|отгружено|25.03.2019||6||2|26.03.2019|64||
1602113|ПУ00-000132|ПР|отгружено|25.03.2019||7||1|26.03.2019|150||
1606042|ПУ00-000122|КТ|отгружено|21.03.2019|л|0||1|27.03.2019|9||
1204113|ПУ00-000124|КТ|отгружено|21.03.2019|л|8||10|27.03.2019|29||
1901053|ПУ00-000047|ШГ|отгружено|14.02.2019||36|?|4|28.03.2019|888||
1812036|ПУ00-000048|ШГ|отгружено|14.02.2019||36||4|28.03.2019|444||
Стеллаж|Оборудование Пауэрз\Стеллаж 1902001|ПР|отгружено|25.02.2019||3|-|1|28.03.2019|150||
Хранилище для баллонов|Оборудование Пауэрз\ПЗ.1903000.01 - Хранилище для баллонов|ПР|отгружено|13.03.2019||21|-|1|28.03.2019|360|ПУ00-000107|
1901044|ПУ00-000060|ШГ|отгружено|19.03.2019|л|22||1|29.03.2019|251||
1902150|ПУ00-000083|КЛ|отгружено|18.03.2019|л|27||2|03.04.2019|476||
1809095|ПУ00-000110|КТМ|отгружено|14.03.2019|л|85||2|04.04.2019|2282|л|
1603079|ПУ00-000143|КТМ|отгружено|29.03.2019|л|27||1|04.04.2019|208||
1809095|ПУ00-000094|КТМ|отгружено|04.03.2019|л|350||6|05.04.2019|6564|.12 - ПУ102 - 4 шт.|
1812122|ПУ00-000067|КЛ|отгружено|21.03.2019|л|33||2|05.04.2019|294||
1602113|ПУ00-000134|КТ|отгружено|25.03.2019|л|18||2|05.04.2019|374||
1611017|ПУ00-000150|КТМ|отгружено|01.04.2019|л|8||1|05.04.2019|352||
1611017|ПУ00-000151|КТМ|отгружено|01.04.2019|л|6||1|05.04.2019|177||
1611017|ПУ00-000152|КТМ|отгружено|01.04.2019|л|15|?|2|05.04.2019|628||
1602113|ПУ00-000137|КТМ|отгружено|29.03.2019|л|215||6|09.04.2019|1801||
1602113|ПУ00-000153|КТМ|отгружено|01.04.2019|л|51||3|09.04.2019|1096||
1602113|ПУ00-000119|КТ|отгружено|20.03.2019|л|20||1|10.04.2019|201||
1602113|ПУ00-000133|КТ|отгружено|25.03.2019|л|10|?|1|10.04.2019|197||
1806024|ПУ00-000114|КТ|отгружено|15.03.2019|л|203||3|10.04.2019|1772||
1603079|ПУ00-000149|КТМ|отгружено|29.03.2019|л|27||1|10.04.2019|208||
1606180|ПУ00-000561|ССЗУ|отгружено|09.04.2019|3|||3|11.04.2019|38||
1809095|ПУ00-000113|КТМ|отгружено|15.03.2019|л|20||16|12.04.2019|867||
1809095|ПУ00-000160|КТМ|отгружено|05.04.2019|л|40||1|12.04.2019|1734||
1602113|ПУ00-000167|ПР|отгружено|11.04.2019|л|5|||12.04.2019|208||
1409018|ПУ00-000173|КТ|отгружено|15.04.2019|р|26||14|18.04.2019|847||
1902182|ПУ00-000166|КТМ|отгружено|10.04.2019|л|34||1|15.04.2019|292||
1806024|ПУ00-000169|КТ|отгружено|15.04.2019|л|6||4|15.04.2019|60|отгружено|
1904044|ПУ00-000174|ПР|отгружено|17.04.2019|л|0|?|279|15.04.2019|0||
1603107|ПУ00-000125|КТ|отгружено|21.03.2019|л|14||8|19.04.2019|58|0,9|
1510092|ПУ00-000172|КТ|отгружено|15.04.2019||6|?|4|16.04.2019|61|готовы|
1211127|ПУ00-000123|КТ|отгружено|21.03.2019|л|6||4|20.04.2019|22||
1902156|ПУ00-000161|КТ|отгружено|11.04.2019|о|6||3|17.04.2019|458||
1603107|ПУ00-000126|КТ|отгружено|21.03.2019|л|14||8|22.04.2019|58|0,9|
1504065|ПУ00-000129|КТ|отгружено|23.04.2019|л||?|8|18.04.2019|120||
1902153|ПУ00-000112|ПР|отгружено|14.03.2019|л|0||24|25.04.2019|1||
1504065|ПУ00-000130|КТ|отгружено|23.04.2019|л|||8|18.04.2019|120||
1808046|ПУ00-000605|ШГ|отгружено|27.03.2019|л|173||4|24.04.2019|2873||
1802032|ПУ00-000049|КЛ|отгружено|27.03.2019|л|201|?|12|26.04.2019|3082|сдвиги не допустимы. |
1606121|ПУ00-000155|КТ|отгружено|02.04.2019|л|8||6|26.04.2019|82||
1809027|ПУ00-000096|ШГ|отгружено|17.04.2019|л|102|?|2|26.04.2019|1193|1193 на сборке, покрашен, отгрузка 25|
1804026|ПУ00-000073|ЛК|отгружено|26.02.2019|л|58||14|30.04.2019|975|л, перерз|
1805094|ПУ00-000192|КТ|отгружено|24.04.2019|л|354||18|17.05.2019|2891|наличие замечаний до момента лазерной резки. Ранее были проблемы с отверстиями на аналогичных модулях, стоит заблаговременно это учесть. |1805094-192`0`1`
1507046|ПУ00-000189|КТМ|отгружено|23.04.2019|л|552|?|21|26.05.2019|15399|зачистка
|
1812081|ПУ00-000056|КЛ|отгружено|25.02.2019|л|60||4|20.06.2019|504|[]|
 |ПУ00-000722|ЛК|отгружено|28.12.2018||6||2|26.05.2019|180|ПКК сообщить когда этот проект на сборку возьмем в работу.|
1801093|ПУ00-000170|КТ|отгружено|15.04.2019|д|6||2|30.04.2019|70||
1807118|ПУ00-000171|КТМ|отгружено|15.04.2019|л|83||3|03.05.2019|6814|транспорт 500к|
1510046|ПУ00-000177|КТМ|отгружено|19.04.2019|л|50||12|03.05.2019|3878|транспорт 500к|
1901124|ПУ00-000097|ШГ|отгружено|15.04.2019|л|18||1|06.05.2019|200||
1902043|ПУ00-000121|КЛ|отгружено|15.04.2019|л|12||1|07.05.2019|119||
1901003|ПУ00-000111|ЛК|отгружено|06.05.2019|л|48||5|13.05.2019|488|4 и 2,5|
1507046|ПУ00-000212|ПР|отгружено|16.05.2019|н|50||14|01.06.2019|3676||
1708035|ПУ00-000185|КТ|отгружено|23.04.2019|л|3|?|1|15.05.2019|80||
1805094|ПУ00-000163|КТМ|отгружено|08.04.2019|л|112||6|13.05.2019|578||
1812049|ПУ00-000050|ШГ|отгружено|13.03.2019|к|87|?|1|20.05.2019|4588||
1602039|ПУ00-000178|КТ|отгружено|19.04.2019|л|2|?|2|17.05.2019|137||
1205076|ПУ00-000183|КТ|отгружено|23.04.2019|л|11||8|17.05.2019|90||
1704017|ПУ00-000184|КТ|отгружено|23.04.2019|л|0||1|17.05.2019|10||
1811085|ПУ00-000715|КЛ|отгружено|29.01.2019|к|138||47|20.05.2019|5522|к 20.05|
1406163|ПУ00-000195|КТ|отгружено|29.04.2019|л|6||6|17.05.2019|20||
1902186|ПУ00-000196|ЛК|отгружено|30.04.2019|л|102||40|17.05.2019|368||
1410129|ПУ00-000201|КТ|отгружено|06.05.2019|л|8,42||2|17.05.2019|102||
1701014|ПУ00-000202|КТ|отгружено|06.05.2019|к|9,7||1|17.05.2019|83||
1602113|ПУ00-000204|КТ|отгружено|08.05.2019|к|100||4|20.05.2019|1017||
1704012|ПУ00-000199|КТ|отгружено|06.05.2019|л|0,97||1|20.05.2019|102|делаем только прижимные планки и пластины из 1,0 мм для зазора  между фланцев и тканью |
1810040|ПУ00-000099|КЛ|отгружено|09.04.2019|лг?|26|?|4|15.05.2019|410||
1803999|ПУ00-000219|ПР|отгружено|20.05.2019|к|6||1|21.05.2019|12|Закрыть надо к концу завтрашнего дня, либо к среде край!!!|
1807074|ПУ00-000186|КТ|отгружено|23.04.2019|к|7|?|1|24.05.2019|105|0,99|
1905071|ПУ00-000217|ПР|отгружено|20.05.2019|л|0||1|21.05.2019|5|лазер|
1203057|ПУ00-000193|КТ|отгружено|26.04.2019|л|1,5||1|30.05.2019|24|0,33|
1811117|ПУ00-000162|ЛК|отгружено|27.05.2019|л|64||4|05.06.2019|1067||1811117-162`0`1`14ый на стороне
1203057|ПУ00-000223|КТ|отгружено|24.05.2019|л|0,1||1|27.05.2019|203||
1704017|ПУ00-000221|КТ|отгружено|20.05.2019|к|1||2|27.05.2019|19||1704017-221`0`1`
1107082|ПУ00-000213|КТ|отгружено|16.05.2019|л|2||1|30.05.2019|7||
1807057|ПУ00-000028|КЛ|отгружено|02.04.2019|к|125||10|31.05.2019|5625|примерная дата доставки 6.05 инструмента|
1704080|ПУ00-000215|КТ|отгружено|17.05.2019|к|67||15|31.05.2019|832|надо поставить его в работу на понедельник и отгрузить не позднее 31.05|
ПЛАСТИНА|ПУ00-000225|ПР|отгружено|29.05.2019|л|0||4|31.05.2019|1||
1402113|ПУ00-000214|КТ|отгружено|16.05.2019|л|8||1|14.06.2019|16||1402113-214`0`1`
1902127|ПУ00-000197|КТМ|отгружено|30.04.2019|л|82,1||3|23.05.2019|812|сдать не позднее 23.05.2019|
1807007|ПУ00-000216|КТ|отгружено|17.05.2019|н|9||2|03.06.2019|15||
1902182|ПУ00-000208|КТ|отгружено|13.05.2019|к|21||7|17.05.2019|129||
1409018|ПУ00-000209|ПР|отгружено|13.05.2019|л|7,17||2|17.05.2019|220||
1204113|ПУ00-000704|ЛК|отгружено|13.05.2019|л|40||4|03.06.2019|265||
1902120|ПУ00-000148|ШГ|отгружено|29.04.2019|к|47,58||1|07.06.2019|920||
1905106|ПУ00-000234|ПР|отгружено|03.06.2019|л|0||3|05.06.2019|1||
1904053|ПУ00-000220|КТ|отгружено|30.05.2019|л|59||3|14.06.2019|575||1904053-220`0`1`
1810040|ПУ00-000168|КЛ|отгружено|30.04.2019|л|34||2|07.06.2019|220||
1604103|ПУ00-000200|КТ|отгружено|06.05.2019|к|73||11|10.06.2019|874|22.05.2019 кольца остальной металл - 10.06.2019
   
   
   
   
   
   
   
|
1611090|ПУ00-000206|КТ|отгружено|13.05.2019|л|8||4|14.06.2019|18|запустить|1611090-206`0`1`
1906085|ПУ00-000270|ПР|отгружено|19.06.2019|л|0||24|19.06.2019|1|Только лазерная резка |
1812118|ПУ00-000207|КТ|отгружено|13.05.2019|к|34||12|14.06.2019|100||
1412193|ПУ00-000232|КТ|отгружено|03.06.2019|л|5||1|14.06.2019|82,42|ПУ00-000138|1412193-232`0`1`
1204113ПЗ|ПУ00-000226|КТ|отгружено|29.05.2019|л|329|?|15|20.06.2019|4435||1204113-226`0`1`
1702253.О|ПУ00-000105|АО|отгружено|30.05.2019|л|7||3|21.06.2019|191||АСО-105`0`1`
1801105|ПУ00-000211|КТ|отгружено|16.05.2019|л|3||1|17.06.2019|16||1801105-211`0`1`
